time,station,rr,substation
2000-01-01T00:00+00:00,11135,1969.0,
2000-01-01T00:00+00:00,11146,,
2000-01-01T00:00+00:00,11200,2142.0,
2000-01-01T00:00+00:00,11203,,
2000-01-01T00:00+00:00,11205,2257.0,
2000-01-01T00:00+00:00,11300,2458.0,
2000-01-01T00:00+00:00,11301,,
2000-01-01T00:00+00:00,11305,2063.0,
2000-01-01T00:00+00:00,11306,,
2000-01-01T00:00+00:00,11311,,
2000-01-01T00:00+00:00,11400,1450.0,
2000-01-01T00:00+00:00,11401,,
2000-01-01T00:00+00:00,11402,,
2000-01-01T00:00+00:00,11410,,
2000-01-01T00:00+00:00,11505,1572.0,
2000-01-01T00:00+00:00,11506,,
2000-01-01T00:00+00:00,11601,1673.0,
2000-01-01T00:00+00:00,11602,,
2000-01-01T00:00+00:00,11603,,
2000-01-01T00:00+00:00,11706,1418.0,
2000-01-01T00:00+00:00,11707,,
2000-01-01T00:00+00:00,11800,1143.0,
2000-01-01T00:00+00:00,11801,,
2000-01-01T00:00+00:00,11803,1153.0,
2000-01-01T00:00+00:00,11804,1109.0,
2000-01-01T00:00+00:00,11901,1371.0,
2000-01-01T00:00+00:00,11903,,
2000-01-01T00:00+00:00,12015,,
2000-01-01T00:00+00:00,12016,,
2000-01-01T00:00+00:00,12200,1448.0,
2000-01-01T00:00+00:00,12201,,
2000-01-01T00:00+00:00,12202,,
2000-01-01T00:00+00:00,12203,,
2000-01-01T00:00+00:00,12208,,
2000-01-01T00:00+00:00,12215,1681.0,
2000-01-01T00:00+00:00,12216,,
2000-01-01T00:00+00:00,12220,1346.0,
2000-01-01T00:00+00:00,12231,,
2000-01-01T00:00+00:00,12301,1347.0,
2000-01-01T00:00+00:00,12302,,
2000-01-01T00:00+00:00,12311,1726.0,
2000-01-01T00:00+00:00,12322,1331.0,
2000-01-01T00:00+00:00,12323,,
2000-01-01T00:00+00:00,12350,,
2000-01-01T00:00+00:00,12351,,
2000-01-01T00:00+00:00,12352,,
2000-01-01T00:00+00:00,12504,1192.0,
2000-01-01T00:00+00:00,12505,1366.0,
2000-01-01T00:00+00:00,12506,,
2000-01-01T00:00+00:00,12513,1319.0,
2000-01-01T00:00+00:00,12530,,
2000-01-01T00:00+00:00,12615,1270.0,
2000-01-01T00:00+00:00,12616,,
2000-01-01T00:00+00:00,12700,1180.0,
2000-01-01T00:00+00:00,12711,1344.0,
2000-01-01T00:00+00:00,12720,,
2000-01-01T00:00+00:00,12721,,
2000-01-01T00:00+00:00,12811,,
2000-01-01T00:00+00:00,13000,1072.0,
2000-01-01T00:00+00:00,13010,1249.0,
2000-01-01T00:00+00:00,13115,1086.0,
2000-01-01T00:00+00:00,13116,,
